Index,Name,X,Y,Z,Altitude,Depth,formation,geometry
O,Opfenbach1,564085,5273438,720,100,6000,start,POINT (564085 5273438)
O,Opfenbach1,564085,5273438,-168,100,6000,OSM,POINT (564085 5273438)
O,Opfenbach1,564085,5273438,-557,100,6000,OMM,POINT (564085 5273438)
O,Opfenbach1,564085,5273438,-2891,100,6000,USM,POINT (564085 5273438)
O,Opfenbach1,564085,5273438,-3071,100,6000,UMM,POINT (564085 5273438)
O,Opfenbach1,564085,5273438,-3794,100,6000,T-J ?,POINT (564085 5273438)
O,Opfenbach1,564085,5273438,-3946,100,6000,T-J,POINT (564085 5273438)
O,Opfenbach1,564085,5273438,-4085,100,6000,end,POINT (564085 5273438)
S,Sulzberg1,572521,5263473,702,200,6055,start,POINT (572521 5263473)
S,Sulzberg1,572521,5263473,-2013,200,6055,horse1,POINT (572521 5263473)
S,Sulzberg1,572521,5263473,-2865,200,6055,horse2,POINT (572521 5263473)
S,Sulzberg1,572521,5263473,-3675,200,6055,Fault,POINT (572521 5263473)
S,Sulzberg1,572521,5263473,-4000,200,6055,USM,POINT (572521 5263473)
S,Sulzberg1,572521,5263473,-4243,200,6055,UMM,POINT (572521 5263473)
S,Sulzberg1,572521,5263473,-4912,200,6055,T-J,POINT (572521 5263473)
S,Sulzberg1,572521,5263473,-5155,200,6055,end,POINT (572521 5263473)
V,V-Au1,573599,5240849,432,205,6060,start,POINT (573599 5240849)
V,V-Au1,573599,5240849,-4302,205,6060,end,POINT (573599 5240849)