Fault_00,Fault_001,Fault_003,Fault_004,Fault_2,Fault_3,Fault_4,Fault_5,Fault_6,Fault_7,Fault_8,Fault_9,LFM,LMM,RDF,UFM,UMM,Up_LFM
882.68,1227.99,729.96,1110.19,606.63,693.84,466.95,932.53,-976.35,-2303.25,-2303.25,-2373.09,763.76,-568.97,-293.53,-149.94,-545.69,565.89
710.02,969.00,167.65,424.71,-138.30,186.66,-603.88,-394.37,-1791.12,-2361.45,-2349.81,-2396.37,368.02,-580.61,-271.95,-208.14,-557.33,-691.18
558.95,1300.00,-175.09,-25.14,-673.72,-147.85,-1465.21,-1139.30,-2233.42,-2454.57,-2512.77,-2512.77,117.77,-470.03,-412.23,-126.66,-568.97,-1715.46
343.13,1300.00,-175.09,-217.93,-953.07,-557.91,-2140.30,-1767.84,-2489.49,-2524.41,-2466.21,-2722.28,-91.75,-254.70,-466.19,71.21,-557.33,-2274.16
-45.34,1300.00,1300.00,-153.67,-1185.86,-881.64,-2978.35,-2093.74,-2396.37,-2524.41,-2093.74,-2838.67,-208.14,129.41,-520.14,408.75,-487.49,-2565.14
-390.65,1300.00,1300.00,1300.00,-1465.21,-1054.29,-3490.49,-2629.16,-2303.25,-2245.06,-2070.46,-2838.67,-289.62,402.93,-498.56,490.23,-231.42,-2681.54
862.69,-1993.00,1300.00,1300.00,-1628.16,-1205.36,-3769.83,-3118.02,1300.00,-1977.35,-2163.58,-3187.86,-248.88,705.56,-304.32,-177.97,164.32,-737.74
-21.91,-1993.00,1300.00,1300.00,661.46,-1453.56,1300.00,-3280.97,1300.00,-1732.92,-2186.86,-3630.16,-155.76,-18.36,-142.46,-170.45,362.20,-1284.80
-673.72,315.83,1300.00,1300.00,-50.74,-1852.82,1300.00,-3443.93,1300.00,-1407.01,-2396.37,-3769.83,-10.27,132.71,51.78,,443.67,-1750.38
-1993.00,-452.96,,1300.00,-633.45,-1917.57,1300.00,-3723.28,1300.00,-1337.17,-3071.46,-4025.90,229.83,132.71,170.48,,1300.00,-2099.56
-1993.00,-935.29,,59.67,-1065.08,-1912.17,1300.00,1300.00,1300.00,-1407.01,-3583.60,-4258.69,337.74,14.01,332.34,,1300.00,-2285.80
-1993.00,-1275.05,,-119.34,-1475.14,-1933.75,1300.00,1300.00,1300.00,-1721.28,-3793.11,-4421.65,391.69,-18.36,375.50,,1300.00,-2367.27
1300.00,-1386.39,,-298.36,-1734.12,-1933.75,1300.00,1300.00,1300.00,-2047.19,-3979.35,-2292.55,294.57,121.92,375.50,,1300.00,-743.56
1300.00,,,-132.13,-1906.77,653.18,1300.00,1300.00,1300.00,-2582.60,-4235.42,-2414.92,175.87,456.44,375.50,,1300.00,-731.92
1300.00,,,225.90,-1993.10,-301.26,1300.00,1300.00,1300.00,-3048.18,-4386.73,-2510.10,337.74,790.95,397.09,,1300.00,-772.66
1300.00,,,,1300.00,-1116.02,-481.48,1300.00,,-3152.94,-2571.72,-2605.27,661.46,-406.84,375.50,,-546.24,-819.22
-1538.69,,,,1300.00,-1651.44,-1814.81,1300.00,,-3292.61,-2579.24,-2646.06,769.37,-363.67,235.22,,-546.24,-877.41
-1768.85,,,,1300.00,-1814.39,-2333.33,1300.00,,-3455.57,,-2700.45,-2815.39,-363.67,235.22,,,-912.33
-1883.93,,,,1300.00,1300.00,-2703.70,-1740.74,,-3571.96,,-2795.63,-2943.43,-363.67,224.43,,,-1796.94
-1858.36,,,,1300.00,1300.00,-3037.04,-2000.00,,-2217.77,,-2863.61,728.84,-439.21,397.09,,,-1866.77
-1922.30,,,,1300.00,1300.00,,-2666.67,,-2285.75,,-3217.12,280.72,-536.33,537.37,,,-1866.77
-1960.66,,,,1300.00,1300.00,,-3000.00,,-2394.53,,-3516.25,-120.84,-644.24,645.28,,,-1843.49
,,,,1300.00,1300.00,,-3148.15,,-2462.51,,-3625.02,-435.11,-644.24,645.28,,,-1494.31
,,,,1300.00,1300.00,,-3459.27,,-2516.90,,-3368.39,-772.66,-644.24,580.53,,,-958.89
,,,,-1993.00,1300.00,,-3440.41,,-2544.09,,-3375.91,-987.99,-644.24,440.25,,,-120.84
,,,,-1993.00,1300.00,,-3726.78,,-2557.69,,,-1022.91,-5508.99,397.09,,,-1878.41
,,,,-1993.00,-1990.00,,,,-2204.17,,,-982.17,-5648.23,397.09,,,-1715.46
,,,,-1993.00,-1990.00,,,,-1959.43,,,-854.13,-5798.18,1066.12,,,-1738.74
,,,,-1993.00,-1990.00,,,,-1592.32,,,-790.12,-5755.33,1120.08,,,-1878.41
,,,,-1993.00,-1990.00,,,,-1456.36,,,683.05,-5508.99,1120.08,,,-2309.07
,,,,,-1990.00,,,,-1401.97,,,272.99,-5637.52,947.42,,,-2681.54
,,,,,-1990.00,,,,-1483.55,,,-50.74,-5744.62,828.72,,,-3030.72
,,,,,-1990.00,,,,-1782.68,,,-234.18,-5701.78,253.34,,,-3298.43
,,,,,-1990.00,,,,-2136.19,,,-417.63,-5723.20,231.91,,,-3589.42
,,,,,,,,,,,,-439.21,-2984.17,306.89,,,-3764.01
,,,,,,,,,,,,-396.05,-3135.48,521.10,,,-3857.13
,,,,,,,,,,,,-180.23,-3310.07,660.34,,,-4089.92
,,,,,,,,,,,,-83.11,-3449.75,746.03,,,-2541.87
,,,,,,,,,,,,1300,-3577.78,531.81,,,-2343.99
,,,,,,,,,,,,1300,-3729.10,510.39,,,-2390.55
,,,,,,,,,,,,1300,-3833.85,638.92,,,-2483.67
,,,,,,,,,,,,1300,-3880.41,339.02,,,-2832.85
,,,,,,,,,,,,1300,-4357.63,617.50,,,-3158.76
,,,,,,,,,,,,-5241.22,-4543.86,863.84,,,-3263.52
,,,,,,,,,,,,-5369.75,-4701.00,928.11,,,-3275.15
,,,,,,,,,,,,-5530.41,-5015.26,906.68,,,-2477.85
,,,,,,,,,,,,-5541.12,-4647.67,788.87,,,-2675.72
,,,,,,,,,,,,-5198.38,-4690.83,617.50,,,-2803.75
,,,,,,,,,,,,-5348.33,-4863.49,660.34,,,-2989.99
,,,,,,,,,,,,-5487.57,-5165.63,692.47,,,-3141.30
,,,,,,,,,,,,-5508.99,-5316.70,703.18,,,-3269.34
,,,,,,,,,,,,-5508.99,-5403.03,960.24,,,-3269.34
,,,,,,,,,,,,-2815.39,-5403.03,1217.29,,,1300
,,,,,,,,,,,,-2943.43,-5381.45,1313.69,,,1300
,,,,,,,,,,,,-3118.02,-5165.63,1099.48,,,1300
,,,,,,,,,,,,-3327.53,-5100.89,1045.92,,,1300
,,,,,,,,,,,,-3467.21,-5122.47,1003.08,,,1300
,,,,,,,,,,,,-3653.44,-5338.29,821.00,,,1300
,,,,,,,,,,,,-3816.39,-5338.29,563.94,,,
,,,,,,,,,,,,-4014.26,-5316.70,392.57,,,
,,,,,,,,,,,,-4281.97,-2996.36,242.63,,,
,,,,,,,,,,,,-4280.78,-2996.36,-6320.98,,,
,,,,,,,,,,,,-4518.18,-3969.65,-6359.34,,,
,,,,,,,,,,,,-4669.25,-3977.16,-6448.85,,,
,,,,,,,,,,,,-4949.81,,-6397.70,,,
,,,,,,,,,,,,-5057.72,,-6257.05,,,
,,,,,,,,,,,,-5144.05,,-6269.84,,,
,,,,,,,,,,,,-5079.30,,-6269.84,,,
,,,,,,,,,,,,-4906.65,,-6269.84,,,
,,,,,,,,,,,,-4820.32,,-6218.69,,,
,,,,,,,,,,,,-4820.32,,1300,,,
,,,,,,,,,,,,-5165.63,,1300,,,
,,,,,,,,,,,,-4992.98,,1300,,,
,,,,,,,,,,,,-2883.63,,1300,,,
,,,,,,,,,,,,-2883.63,,1300,,,